"Points:0","Points:1","Points:2"
162.743,138.33,57.2581
163.766,138.048,57.0003
163.318,137.716,57.1334
164.829,138.157,57.1389
164.978,137.505,57.1832
165.789,137.899,57.2959
162.961,138.792,57.3431
164.501,138.64,57.2435
165.848,138.272,57.5879
163.711,139.149,57.6898
167.052,135.803,57.9257
167.804,136.246,57.6927
168.25,135.544,57.9606
169.461,136.071,57.8243
170.71,135.659,58.0094
161.041,136.901,58.5436
161.556,137.175,58.0531
163.065,137.13,57.5823
162.568,136.466,58.3524
163.659,136.407,58.0359
165.144,136.892,57.4717
164.305,136.67,57.6639
166.279,136.925,57.5237
165.654,136.209,57.8924
167.507,136.949,57.6039
168.691,136.955,57.8485
169.799,136.679,57.9887
170.657,136.464,58.02
160.06,138.247,58.1091
161.261,137.892,57.8733
160.067,137.546,58.5064
162.324,137.817,57.5034
166.752,137.641,57.6308
168.354,137.487,57.9902
169.291,137.434,58.3966
170.267,137.091,58.5068
158.036,138.868,58.4829
159.122,138.784,58.2825
158.846,138.233,58.463
159.979,138.965,58.1951
160.855,138.768,58.0313
161.964,138.637,57.7308
165.844,138.682,58.4314
166.992,138.164,58.2649
158.387,139.311,58.6212
159.47,139.477,58.6272
161.209,139.294,58.4461
162.567,139.265,58.1733
163.562,139.372,58.1939
164.913,139.047,57.9445
173.811,133.335,58.5932
175.185,133.103,58.7225
175.912,133.185,58.8478
170.342,134.29,58.4989
171.384,134.212,58.4991
170.846,133.528,58.8508
172.458,134.044,58.51
171.846,133.382,58.7764
173.3,134.235,58.4542
174.311,133.96,58.5535
175.794,133.884,58.8645
167.228,134.576,58.8614
168.95,134.74,58.3717
169.082,134.115,58.7938
169.942,135.411,57.9852
170.959,135.14,58.222
171.975,135.048,58.397
172.963,134.943,58.5036
173.74,134.742,58.5478
174.636,134.826,58.8038
175.636,134.976,59.2902
162.865,135.996,58.7774
165.011,135.668,58.4885
166.721,135.33,58.3378
164.719,135.246,59.1242
171.473,135.979,58.3268
172.519,135.93,58.7189
173.698,135.552,58.8767
174.691,135.641,59.1937
161.605,136.287,59.2085
171.465,136.654,58.6752
173.159,136.384,59.4635
158.69,137.995,58.8034
159.321,137.436,59.2561
168.599,137.875,58.4672
169.767,137.549,59.3044
171.013,137.131,59.1286
157.749,138.685,59.1039
164.913,139.14,58.7143
165.305,138.939,59.2673
166.638,138.464,59.2325
168.293,138.061,58.9359
158.076,139.7,59.0956
159.108,139.902,59.0299
160.211,139.803,59.315
161.618,139.601,59.1467
163.337,139.484,58.916
158.757,140.065,59.4657
182.105,128.209,59.6003
183.67,128.195,59.6366
179.893,129.351,59.4922
181.446,129.041,59.4595
180.85,128.14,59.7706
182.703,129.203,59.4097
184.639,128.84,59.7497
178.136,130.197,59.4724
177.666,129.482,59.7906
179.727,130.306,59.311
181.812,129.882,59.3678
183.003,129.84,59.4862
184.595,129.673,59.8146
175.41,131.19,59.4189
176.519,131.072,59.3946
175.828,130.385,59.7317
177.963,131.196,59.2892
179.498,131.055,59.2715
181.111,130.866,59.3768
182.703,130.8,59.6431
183.634,130.959,59.8831
172.466,131.504,59.7563
173.998,131.476,59.4071
173.983,132.47,58.8966
174.72,132.482,58.8831
176.08,132.136,59.1241
177.123,132.103,59.2064
178.793,131.955,59.2882
180.389,131.718,59.4045
181.682,131.835,59.738
171.336,132.661,59.2902
170.065,132.5,59.8315
172.785,132.704,58.9157
176.837,133.15,59.1474
178.018,132.937,59.3342
179.551,132.972,59.6395
180.693,132.663,59.7728
182.79,132.059,60.1929
166.482,134.283,59.5082
166.523,133.64,60.3727
167.543,133.284,60.2235
169.635,133.293,59.3034
168.251,133.621,59.5007
176.29,134.244,59.1377
178.15,133.944,59.6695
179.62,134.021,60.2641
